Date,AAPL.O
29/11/10,45.26709759
30/11/10,44.44995555
1/12/10,45.1999548
2/12/10,45.44995455
3/12/10,45.34852608
6/12/10,45.73566855
7/12/10,45.45852597
8/12/10,45.85852557
9/12/10,45.67959718
10/12/10,45.79423992
13/12/10,45.95281119
14/12/10,45.75566853
15/12/10,45.76566852
16/12/10,45.89281125
17/12/10,45.80138277
20/12/10,46.02995397
21/12/10,46.31495369
22/12/10,46.45138212
23/12/10,46.2285252
24/12/10,
27/12/10,46.38281076
28/12/10,46.49566779
29/12/10,46.46995353
30/12/10,46.23709662
31/12/10,46.07995392
3/1/11,47.08138149
4/1/11,47.32709553
5/1/11,47.714238
6/1/11,47.67566661
7/1/11,48.01709484
10/1/11,48.92209394
11/1/11,48.80566548
12/1/11,49.20280794
13/1/11,49.38280776
14/1/11,49.78280736
17/1/11,
18/1/11,48.66423705
19/1/11,48.40566588
20/1/11,47.52566676
21/1/11,46.67423904
24/1/11,48.20709465
25/1/11,48.7713798
26/1/11,49.12137945
27/1/11,49.02995097
28/1/11,48.0142377
31/1/11,48.47423724
1/2/11,49.28995071
2/2/11,49.18852224
3/2/11,49.06280808
4/2/11,49.4999505
7/2/11,50.26852116
8/2/11,50.7428064
9/2/11,51.16566312
10/2/11,50.64852078
11/2/11,50.97852045
14/2/11,51.31137726
15/2/11,51.4142343
16/2/11,51.87566241
17/2/11,51.1856631
18/2/11,50.07994992
21/2/11,
22/2/11,48.37280877
23/2/11,48.94566534
24/2/11,48.98280816
25/2/11,49.73709312
28/2/11,50.45852097
1/3/11,49.90137867
2/3/11,50.30280684
3/3/11,51.36566292
4/3/11,51.42852
7/3/11,50.76566352
8/3/11,50.82280632
9/3/11,50.35280679
10/3/11,49.52423619
11/3/11,50.28423543
14/3/11,50.50852092
15/3/11,49.34709351
16/3/11,47.14423857
17/3/11,47.80566648
18/3/11,47.23852419
21/3/11,48.4713801
22/3/11,48.7428084
23/3/11,48.45566583
24/3/11,49.28137929
25/3/11,50.21994978
28/3/11,50.06280708
29/3/11,50.13709272
30/3/11,49.80423591
31/3/11,49.78673593
1/4/11,49.22280792
4/4/11,48.74137983
5/4/11,48.41280873
6/4/11,48.29138028
7/4/11,48.29709456
8/4/11,47.86566642
11/4/11,47.2570956
12/4/11,47.4856668
13/4/11,48.01852341
14/4/11,47.48852394
15/4/11,46.77995322
